"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"AMBR",18.4423266,76.944133,"Maharashtra","AMBIKA ROHINA",413517,4,37.5151515151515,-0.727272727272727
"AMC",14.138629,76.2457394,"Karnataka","AMRITAPURA",577557,9,17.3108108108108,12.2162162162162
"AMD",26.1866832,83.5158378,"Uttar Pradesh","AMILA",275301,8,0,0
"AMDI",21.371098,79.252324,"Maharashtra","AMDI HALT",441105,6,6.35087719298246,0.596491228070175
"AME",26.1529502,81.8061244,"Uttar Pradesh","AMETHI",227405,52,157.776892430279,4.26693227091633
"AMG",26.8415117,80.8682832,"Uttar Pradesh","ALAMNAGAR",226017,27,132.672413793103,16.0344827586207
"AMGA",25.9817822,90.8539268,"Assam","AMJONGA",783124,6,8.05769230769231,1.82692307692308
"AMH",26.0390513,83.1617176,"Uttar Pradesh","AZAMGARH",276001,34,60.7078651685393,-1.2752808988764
"AMI",20.9307294,77.7580031,"Maharashtra","AMRAVATI",444606,26,1.34183673469388,-4.45408163265306
"AMIN",29.904716,76.8997586,"Haryana","AMIN",132116,11,23.8878504672897,2.1588785046729
"AML",20.8118396,72.9559299,"Gujarat","AMALSAD",396310,25,12.7522935779817,-0.522935779816514
"AMLA",21.9201864,78.1254412,"Madhya Pradesh","AMLA JN",460551,54,28.9509433962264,-8.26415094339623
"AMLI",25.8280691,76.2860852,"Rajasthan","AMLI",304023,8,53.4210526315789,2.23684210526316
"AMLO",23.7689386,85.9803879,"Jharkhand","AMLO",829104,6,60.6285714285714,1.25714285714286
"AMLP",22.16264,73.511642,"Gujarat","AMALPUR",391110,6,14.2203389830508,0
"AMP",23.8325615,87.6930878,"West Bengal","AHAMADPUR JN.",731201,43,32.9689265536723,1.21468926553672
"AMPA",9.3861751,76.3639998,"Kerala","AMBALA PUZHA",688561,32,46.8151260504202,6
"AMPL",25.2722236,87.4583924,"Bihar","AMMAPALLI HALT",813209,10,60.1505376344086,2.62365591397849
"AMPR",29.420258,73.989563,"Rajasthan","AMARPURA RATHAN",335803,4,7.89473684210526,1.47368421052632
"AMQ",17.486946,78.5269962,"Telangana","AMMUGUDA",500056,8,34.9253731343284,0.223880597014925
"AMRO",28.8923204,78.4743064,"Uttar Pradesh","AMROHA",244221,52,119.104430379747,5.33544303797468
"AMS",26.7746588,80.8421205,"Uttar Pradesh","AMAUSI",226009,27,79.1491935483871,2.66935483870968
"AMSA",13.264821,76.7117357,"Karnataka","AMMASANDRA",572211,20,28.8527131782946,4.71317829457364
"AMT",10.7789071,79.3250261,"Tamil Nadu","AMMAPET",614401,1,23.5,0
"AMVA",8.3965611,77.1006158,"Kerala","AMARAVILA HALT",695124,10,23.0444444444444,2.41111111111111
"AMW",20.3669096,77.0742545,"Maharashtra","AMAN VADI",444503,6,22.4339622641509,2.37735849056604
"AMX",21.5097894,76.6505665,"Madhya Pradesh","AMLAKHURD",450221,8,27.0649350649351,2.37662337662338
"AMY",8.7003666,76.7587119,"Kerala","AKATHUMURI",695318,8,27.695652173913,0.550724637681159
"AN",21.0493304,75.0574699,"Maharashtra","AMALNER",425401,41,13.0684931506849,-3.28082191780822
"ANA",23.8604105,79.3193571,"Madhya Pradesh","ASLANA",470661,9,25.8823529411765,3.21176470588235
"ANAH",25.3804251,85.9496954,"Bihar","AUNTA HALT",803303,2,85.2068965517241,33.1034482758621
"ANAS",22.8653013,74.4211292,"Madhya Pradesh","ANAS",389154,10,33.063829787234,0.51063829787234
"ANB",15.5968588,80.1488768,"Andhra Pradesh","AMMANABROLU",523180,20,54.7305389221557,4.11377245508982
"ANC",12.740798,76.2779689,"Karnataka","ANNECHAKANAHALI",573211,4,19.6315789473684,-0.0526315789473684
"ANCR",23.284621,86.9925759,"West Bengal","ANCHURI",722132,18,14.3488372093023,0.418604651162791
"ANDN",26.2159112,84.3535541,"Bihar","ANAND NAGAR",841226,22,32.3441558441558,-6.81818181818182
"ANE",13.9999655,79.302365,"Andhra Pradesh","ANANTARAJUPET",516105,4,41.2972972972973,3.75675675675676
"ANF",14.0747367,75.2097577,"Karnataka","ANANDAPURAM",577412,10,10.4342105263158,2.67105263157895
"ANG",19.0744933,74.7219903,"Maharashtra","AHMADNAGAR",414001,56,37.1598173515982,7.12785388127854
"ANGL",20.8596959,85.0993976,"Odisha","ANGUL",759143,47,11.9641025641026,-18.8820512820513
"ANGR",16.4515408,75.8456397,"Karnataka","ANGADGERI HALT",586216,3,32.6296296296296,1.25925925925926
"ANI",21.8949151,76.2863326,"Madhya Pradesh","AJANTI",450001,12,16.3303571428571,8.70535714285714
"ANK",20.1505725,74.469468,"Maharashtra","ANKAI",423403,13,34.94,22.58
"ANKL",14.6454338,74.3319994,"Karnataka","ANKOLA",581314,12,52.2266666666667,4.14666666666667
"ANMD",21.1894663,81.955783,"Chhattisgarh","ARANG MAHANADI",493441,6,64.6666666666667,-13.0980392156863
"ANND",22.5617082,72.9663035,"Gujarat","ANAND JN",388001,210,11.9730250481696,-0.142581888246628
"ANNR",13.1164223,80.1271998,"Tamil Nadu","ANNANUR",600109,2,26.6,-1
"ANO",17.6210636,73.399796,"Maharashtra","ANJANI",415709,4,55.5555555555556,0.666666666666667
"ANP",11.1446453,79.6587431,"Tamil Nadu","ANANDTANDAVPUR",609103,8,12.7285714285714,1.22857142857143
"ANPR",24.2144113,82.7667843,"Madhya Pradesh","ANPARA",231225,5,53.0512820512821,6.56410256410256
"ANQ",17.0463658,74.4641545,"Maharashtra","AMNAPUR",416308,4,15.9166666666667,1.88888888888889
"ANR",23.4802124,86.5603352,"West Bengal","ANARA",723126,39,19.361581920904,1.92372881355932
"ANSB",31.2299042,76.5003155,"Punjab","ANANDPUR SAHIB",140118,18,13.3008130081301,-0.024390243902439
"ANT",33.5676578,75.1923312,"Jammu and Kashmir","ANANTNAG",192221,18,NA,NA
"ANTU",26.0550042,81.8978843,"Uttar Pradesh","ANTU",230501,16,136.524590163934,2.13114754098361
"ANU",11.3986831,77.8212493,"Tamil Nadu","ANANGUR",637304,5,19.6666666666667,2.18055555555556
"ANV",17.2696051,82.4194936,"Andhra Pradesh","ANNAVARAM",533408,42,46.1035598705502,4.26860841423948
"ANVR",28.6469886,77.3160194,"Delhi","ANAND VIHAR",110092,44,24.6285714285714,0.669047619047619
"ANY",8.579348,78.092046,"Tamil Nadu","ARUMUGANERI",628202,14,13.1811023622047,1.61417322834646
"AO",28.2957017,79.1694914,"Uttar Pradesh","AONLA",243301,28,119.208333333333,-3.23611111111111
"AONI",26.4482846,92.9196756,"Assam","AMONI",782138,4,6.27777777777778,1.44444444444444
"AOR",23.3470613,85.3142077,"Jharkhand","ARGORA",834002,7,4.61538461538461,1.95384615384615
